Audit log system table schema,,,,
system.access.audit,https://docs.databricks.com/aws/en/admin/system-tables/audit-logs,,,
end_time,timestamp,The time at which the operation ended. Timezone information is recorded at the end of the value with +00:00 representing UTC.,2023-01-09 11:00:00.000+00:00,
metastore_name,string,The name of the metastore to which the optimized table belongs.,metastore,
metastore_id,string,The ID of the metastore to which the optimized table belongs.,5a31ba44-bbf4-4174-bf33-e1fa078e6765,
catalog_name,string,The name of the catalog to which the optimized table belongs.,catalog,
schema_name,string,The name of the schema to which the optimized table belongs.,schema,
table_id,string,The ID of the optimized table.,138ebb4b-3757-41bb-9e18-52b38d3d2836,
table_name,string,The name of the optimized table.,table1,
operation_type,string,"The optimization operation which was performed. The value will be COMPACTION, VACUUM, ANALYZE, or CLUSTERING.",COMPACTION,
operation_id,string,The ID for the optimization operation.,4dad1136-6a8f-418f-8234-6855cfaff18f,
operation_status,string,The status of the optimization operation. The value will be SUCCESSFUL or FAILED: INTERNAL_ERROR.,SUCCESSFUL,
operation_metrics,"map[string, string]",Additional details about the specific optimization that was performed. See Operation metrics.,"{""number_of_output_files"":""100"",""number_of_compacted_files"":""1000"",""amount_of_output_data_bytes"":""4000"",""amount_of_data_compacted_bytes"":""10000""}",
usage_unit,string,The unit of usage that this operation incurred. Can only be one value: ESTIMATED_DBU.,ESTIMATED_DBU,
usage_quantity,decimal,The amount of the usage unit that was used by this operation.,2.12,
Assistant events schema,,,,
system.access.assistant_events,https://docs.databricks.com/aws/en/admin/system-tables/assistant,,,
Event,Data type,Description,Example,
event_id,string,A unique ID for this event.,80899c5dfe4b6b9505f3ea5a90e9c97f7ab9fa8f,
account_id,string,ID of the account.,ca886134-876c-4671-a38b-332edf48c602,
workspace_id,string,ID of the workspace.,2548836972759138,
event_time,timestamp,Time that the event happened. Timezone information is recorded at the end of the value with +00:00 representing UTC.,2024-01-05T00:00:00.000+00:00,
event_date,string,Date that the event happened.,2024-01-05,
user_agent,string,Origination of request.,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",
initiated_by,string,Email of the user initiating the request.,abc@databricks.com,
Clean room events system table schema,,,,
system.access.clean_room_events,https://docs.databricks.com/aws/en/admin/system-tables/clean-rooms,,,
Column name,Data type,Description,Example,
account_id,string,The ID of the Databricks account,"7af234db-66d7-4db3
-bbf0-956098224879",
metastore_id,string,The ID of the UC metastore,"5a31ba44-bbf4-4174
-bf33-e1fa078e6765",
event_id,string,The ID of the clean room event,"db52a413-7a0a-4d49
-b742-7ae5f06bc4b2",
clean_room_name,string,Name of the clean room associated with the event,market-analysis,
central_clean_room_id,string,The ID of central clean room,"e01b6a78-1336-47e1
-b63d-3e49aa5b627",
initiator_global_metastore_id,string,Global metastore ID of the collaborator who initiated the event,"aws:us-west-2:ec22936d
-cd29-4421-a88a-883fb356776a",
event_time,timestamp,Timestamp when the event took place,2023-01-01 1:01:01,
event_type,string,The type of the event. See Logged clean room events.,CLEAN_ROOM_CREATED,
clean_room_created_metadata,struct,The metadata of the event type CLEAN_ROOM_CREATED,"{
""collaborators"": [
{""collaborator_global_metastore_id"":
""aws:us-west-2:ec22936d-cd29-4421-a88a-883fb356776a""},
{""collaborator_global_metastore_id"":
""azure:westus:3be05a26-5a83-478c-8428-9ef9aa67b5d0""}]
}",
clean_room_deleted_metadata,struct,The metadata of the event type CLEAN_ROOM_DELETED,"{
""central_clean_room_id"": ""af0d4563-2267-412c-9d4a
-8a59c4895c18""
}",
run_notebook_started_metadata,struct,The metadata of the event type RUN_NOTEBOOK_STARTED,"{
""notebook_name"": ""Market Analysis"",
""notebook_checksum"": ""7072696E7468656C6C6F776F7264"",
""run_id"": ""TaskRunId-634124444694206"",
""notebook_etag"": ""f2429adc02d548bacc11db6c8891ec2548d38b4798a80810fbc8be784af22931"",
""notebook_update_time"": ""2025-05-04T03:20:35.000Z""
}",
run_notebook_completed_metadata,struct,The metadata of the event type RUN_NOTEBOOK_COMPLETED,See Completed notebook run metadata,
clean_room_assets_updated_metadata,struct,The metadata of the event type CLEAN_ROOM_ASSETS_UPDATED,"{
""added_assets"": [{
""data_object_type"": ""TABLE"",
""name"": ""sales"",
""catalog"": ""demo""}],
""updated_assets"":[],
""removed_assets"": []
}",
asset_review_created_metadata,struct,The metadata of the event type ASSET_REVIEW_CREATED,See Clean room asset review events,
output_schema_deleted_metadata,struct,The metadata of the event type OUTPUT_SCHEMA_DELETED,"{
""name"": ""output_schema_55555"",
""owner_global_metastore_id"": ""aws:us-west-2:555555-55..."",
""action"": ""DELETE"",
""expire_time"": ""2025-01-14T15:28:19.000Z""
}",
initiator_collaborator_alias,string,"Alias of the collaborator who initiated the event. For clean rooms created through the UI, the value is either creator or collaborator. For clean rooms created via API, they are the custom values specified on creation.",creator,
Outbound network access events system table schema,,,,
system.access.outbound_network,https://docs.databricks.com/aws/en/admin/system-tables/network,,,
Column name,Data type,Description,Example,
account_id,string,The ID of the Databricks account,7af234db-66d7-4db3-bbf0-956098224879,
workspace_id,string,The ID of the workspace where the event occurred,1234567890123456,
event_id,string,The ID of the event,db52a413-7a0a-4d49-b742-7ae5f06bc4b2,
destination_type,string,"The type of destination. Possible values are DNS, IP, and STORAGE",DNS,
destination,string,"Details of the blocked destination. Depending on the destination type, the value could be a domain name, IP address, or storage location.",google.com,
dns_event,struct,"Details about the DNS destination. Only populates for DNS destinations, otherwise the field is NULL.","{ ""domain_name"":""google.com"", ""rcode"": 3 }",
storage_event,struct,"Details about the storage destination. Only populates for storage destinations, otherwise the field is NULL.","{ ""hostname"":""s3://some-bucket"", ""path"": ""/some-path"", ""rejection_reason"": ""storage-bucket-path-denied"" }",
event_time,timestamp,Timestamp when the event took place,2024-05-01 1:01:01,
access_type,string,Type of access event that occurred.,DROP,
network_source_type,string,The specific product or service used within the workspace where the event occurred.,"DBSQL, General Compute, MLServing, ML Build, Apps",
Inbound network access events system table schema,,,,
system.access.inbound_network,,,,
Column name,Data type,Description,Example,
account_id,string,The ID of the Databricks account.,7af234db-66d7-4db3-bbf0-956098224879,
workspace_id,string,The ID of the workspace where the event occurred.,1234567890123456,
event_id,string,The ID of the event.,db52a413-7a0a-4d49-b742-7ae5f06bc4b2,
request_path,string,The destination of the request.,/compute,
source,struct,"The source of the request. Contains IP, private link, and related attributes.","{ ""ip"": ""10.0.0.1"", ""private-link"": ""some-pl-id"" }",
authenticated_as,string,"The authenticated identity of the request. Must be one of the following:
<user>@<domain-name>

<sp-application-id>

group_name",user@databricks.com,
policy_id,string,The ID of the ingress policy that evaluated the request.,fbc3a2a1-ef12-43b8-9e88-f024ac219ba5,
event_time,timestamp,Timestamp when the event took place.,2024-05-01 1:01:01,
policy_outcome,string,Type of access event outcome. Possible values are DENY or DENY_DRY_RUN.,DENY,
Shared materialized data history system table schema,,,,
system.sharing.materialization_history,https://docs.databricks.com/aws/en/admin/system-tables/materialization,,,
Column Name,Type,Description,Example Data,Nullable
sharing_materialization_id,string,The unique ID of a data materialization.,da38803f-2a62-4e27-bdb9-29b801c6dd84,FALSE
account_id,string,The ID of the Databricks account where the materialization was created.,,FALSE
workspace_id,string,The ID of the Databricks workspace billed.,6051921418418893,FALSE
recipient_name,string,Name of the recipient using the data materialization.,e2-dogfood,TRUE
provider_name,string,Name of the provider using the data materialization.,aws:us-west-2:19a85dee-54bc-43a2-87ab-023d0ec16013,TRUE
share_name,string,Name of the share used to create data materialization.,my_share,FALSE
schema_name,string,Name of the schema of the shared asset.,my_schema,FALSE
table_name,string,Name of the table used to create data materialization.,stocks,FALSE
created_at,timestamp,Timestamp of when the materialization was created.,2025-01-01 0:00:00,FALSE
Workspaces table schema,,system.access.workspaces_latest,,
system.access.workspaces_latest,https://docs.databricks.com/aws/en/admin/system-tables/workspaces,,,
Column name,Data type,Description,Example,
account_id,string,ID of the Databricks account,0722779a-fd4e-49c1-a7a6-8417a97cf9ea,
workspace_id,string,ID of the Databricks workspace,2274721051152826',
workspace_name,string,The human-readable name of the workspace,dough-re-mi,
workspace_url,string,URL of the workspace,https://dough-re-mi-pizza.cloud.databricks.com/,
create_time,timestamp,Timestamp of when the workspace was created (second precision),2025-03-05 15:47,
status,enum,"The status of the workspace. For workspace creation, it is set to PROVISIONING initially. Continue to check the status until the status is RUNNING.","NOT_PROVISIONED, PROVISIONING, RUNNING, FAILED, BANNED",
system.mlflow.experiments_latest,,,,
Column name,Data type,Description,Example,Nullable
account_id,string,The ID of the account containing the MLflow experiment,"""bd59efba-4444-4444-443f-44444449203""",No
update_time,timestamp,The system time when the experiment was last updated,2024-06-27T00:58:57.000+00:00,No
delete_time,timestamp,The system time when the MLflow experiment was soft-deleted by the user,2024-07-02T12:42:59.000+00:00,Yes
experiment_id,string,The ID of the MLflow experiment,"""2667956459304720""",No
workspace_id,string,The ID of the workspace containing the MLflow experiment,"""6051921418418893""",No
name,string,User-provided name of the experiment,"""/Users/first.last@databricks.com/myexperiment""",No
create_time,timestamp,The system time when the experiment was created,2024-06-27T00:58:57.000+00:00,No
system.mlflow.runs_latest,,,,
Column name,Data type,Description,Example,Nullable
account_id,string,The ID of the account containing the MLflow run,"""bd59efba-4444-4444-443f-44444449203""",No
update_time,timestamp,The system time when the run was last updated,2024-06-27T00:58:57.000+00:00,No
delete_time,timestamp,The system time when the MLflow run was soft-deleted by the user,2024-07-02T12:42:59.000+00:00,Yes
workspace_id,string,The ID of the workspace containing the MLflow run,"""6051921418418893""",No
run_id,string,The ID of the MLflow run,"""7716d750d279487c95f64a75bff2ad56""",No
experiment_id,string,The ID of the MLflow experiment containing the MLflow run,"""2667956459304720""",No
created_by,string,The name of the Databricks principal or user that created the MLflow run,"""<user>@<domain-name>""",Yes
start_time,timestamp,The user-specified time when the MLflow run started,2024-06-27T00:58:57.000+00:00,No
end_time,timestamp,The user-specified time when the MLflow run ended,2024-07-02T12:42:59.000+00:00,Yes
run_name,string,The name of the MLflow run,"""wistful-deer-932"", ""my-xgboost-training-run""",No
status,string,The execution status of the MLflow run,"""FINISHED""",No
params,"map<string, string>",Key-value parameters of the MLflow run,"{""n_layers"": ""5"", ""batch_size"": ""64"", ""optimizer"": ""Adam""}",No
tags,"map<string, string>",Key-value tags set on the MLflow run,"{""ready_for_review"": ""true""}",No
aggregated_metrics,"list<struct<string, double, double, double>>",An aggregated view summarizing the metrics in the run_metrics_history,"[{""metric_name"": ""training_accuracy"", ""latest_value"": 0.97, ""min_value"": 0.8, ""max_value"": 1.0}, ...]",No
aggregated_metrics.metric_name,string,The user-specified name of the metric,"""training_accuracy""",No
aggregated_metrics.latest_value,double,"The latest value of the metric_name in the time series of this (run, metric_name) combination in run_metrics_history",0.97,No
aggregated_metrics.max_value,double,"The maximum value of the metric_name in the time series of this (run, metric_name) combination in run_metrics_history. If any NaN value was recorded for a metric, the value will be NaN",1,No
aggregated_metrics.min_value,double,"The minimum value of the metric_name in the time series of this (run, metric_name) combination in run_metrics_history. If any NaN value was recorded for a metric, the value will be NaN",0.8,No
system.mlflow.run_metrics_history,,,,
Column name,Data type,Description,Example,Nullable
account_id,string,The ID of the account containing the MLflow run to which the metric was logged,"""bd59efba-4444-4444-443f-44444449203""",No
insert_time,timestamp,The system time when the metric was inserted,2024-06-27T00:58:57.000+00:00,No
record_id,string,A unique identifier of the metric to distinguish between identical values,"""Ae1mDT5gFMSUwb+UUTuXMQ==""",No
workspace_id,string,The ID of the workspace containing the MLflow run to which the metric was logged,"""6051921418418893""",No
experiment_id,string,The ID of the MLflow experiment containing the MLflow run to which the metric was logged,"""2667956459304720""",No
run_id,string,The ID of the MLflow run to which the metric was logged,"""7716d750d279487c95f64a75bff2ad56""",No
metric_name,string,The metric name,"""training_accuracy""",No
metric_time,timestamp,The user-specified time when the metric was computed,2024-06-27T00:55:54.1231+00:00,No
metric_step,bigint,"The step (for example, epoch) of model training or agent development at which the metric was logged",10,No
metric_value,double,The metric value,0.97,No
Data classification results table schema,,,,
Column name,Data type,Description,Example,
latest_detected_time,timestamp,As-of time when the column was most recently scanned.,2025-06-27 12:34,
first_detected_time,timestamp,Time when the column detection was first recorded.,2025-06-27 12:34,
catalog_id,string,ID of the catalog.,3f1a7d6e-9c59-...,
table_id,string,ID of the table.,3f1a7d6e-9c59-...,
catalog_name,string,Catalog name.,main_catalog,
schema_name,string,Schema name.,public,
table_name,string,Table name.,sales_data,
column_name,string,Column name.,customer_email,
data_type,string,Data type of the column. Complex types include full struct definitions.,"struct<name:string, age:int>",
class_tag,string,Tag for the detected entity or tag key and optional value.,class.us_ssn or pii: confidential,
samples,array<string>,Up to five sample values that matched the detection.,"[""a@b.com"", ...]",
confidence,string,Confidence of detection. Either HIGH or LOW,HIGH,
frequency,float,Estimation of the proportion of matching rows in the sample. Between 0 and 1.,0.87,
Data quality monitoring results table schema,,,,
system.data_quality_monitoring.table_results,,,,
Column name,Contents (for struct data type),Data type,Description,Example data
event_time,,timestamp,Time when the row was generated.,2025-06-27 12:00:00
catalog_name,,string,Name of the catalog. Used to identify the table.,main
schema_name,,string,Name of the schema. Used to identify the table.,default
table_name,,string,Name of the table. Used to identify the table.,events
catalog_id,,string,Stable ID for the catalog.,3f1a7d6e-9c59-4b76-8c32-8d4c74e289fe
schema_id,,string,Stable ID for the schema.,3f1a7d6e-9c59-4b76-8c32-8d4c74e289fe
table_id,,string,Stable ID for the table.,3f1a7d6e-9c59-4b76-8c32-8d4c74e289fe
status,,string,"Consolidated health status at the table level. ""Unhealthy"" if any check or group is unhealthy.","Healthy, Unhealthy, Unknown"
freshness,,struct,Freshness checks.,
,status,string,Overall freshness status.,Unhealthy
,commit_freshness,struct,Commit freshness check results.,
completeness,,struct,Completeness check results.,
,status,string,Status of completeness check.,Unhealthy
,total_row_count,struct,Total number of rows in the table over time.,
,daily_row_count,struct,Number of rows added each day.,
downstream_impact,,struct,Summary of downstream impact based on dependency graph.,
,impact_level,int,"Severity indicator (0 = none, 1 = low, 2 = medium, 3 = high, 4 = very high).",2
,num_downstream_tables,int,Number of downstream tables affected.,5
,num_queries_on_affected_tables,int,Number of queries run on affected downstream tables over the last 30 days.,120
root_cause_analysis,,struct,Information about upstream jobs contributing to the issue.,
,upstream_jobs,array,Metadata for each upstream job.,
commit_freshness array structure,,,,
The commit_freshness struct contains the following:,,,,
,,,,
Item name,Data type,Description,Example data,
status,string,Status of commit freshness check.,Unhealthy,
error_code,string,Error message encountered during check.,FAILED_TO_FIT_MODEL,
last_value,timestamp,Last commit timestamp.,2025-06-27 11:30:00,
predicted_value,timestamp,Predicted time by which the table should have been updated.,2025-06-27 11:45:00,
total_row_count and daily_row_count array structure,,,,
The total_row_count and daily_row_count structs contain the following:,,,,
Item name,Data type,Description,Example data,
status,string,Status of the check.,Unhealthy,
error_code,string,Error message encountered during check.,FAILED_TO_FIT_MODEL,
last_value,int,Number of rows observed in the last 24 hours.,500,
min_predicted_value,int,Minimum expected number of rows in the last 24 hours.,10,
max_predicted_value,int,Maximum expected number of rows in the last 24 hours.,1000,
upstream_jobs array structure,,,,
The structure of the array shown in the upstream_jobs column is shown in the following table:,,,,
Item name,Data type,Description,Example data,
job_id,string,Job ID.,12345,
workspace_id,string,Workspace ID.,6051921418418893,
job_name,string,Job display name.,daily_refresh,
last_run_status,string,Status of the most recent run.,SUCCESS,
run_page_url,string,URL of Databricks job run page.,https://.../runs/123,
Downstream impact information,,,,
"In the logged results table, the column downstream_impact is a struct with the following fields:",,,,
Field,Type,Description,,
impact_level,int,Integer value between 1 and 4 indicating the severity of the data quality issue. Higher values indicate greater disruption.,,
num_downstream_tables,int,Number of downstream tables that might be affected by the identified issue.,,
num_queries_on_affected_tables,int,Total number of queries that have referenced the affected and downstream tables in the past 30 days.,,
